id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25,2_wheeler_motor,4_wheeler_motor,bikes_scooters
2020-01-06 05,38.3,0.192,24.4,19.2,13,,,
2020-01-06 06,59.2,0.238,5,20.8,14.5,,,
2020-01-06 07,60.5,0.305,4.1,23.4,15.4,,,
2020-01-06 08,52.5,0.319,6.8,27.3,15,,,
2020-01-06 09,50,0.33,10.5,28.8,15.9,,,
2020-01-06 10,,,,32.2,,,,
2020-01-06 11,,,,30.6,,,,
2020-01-06 12,,,,,,,,
2020-01-06 13,36.9,0.274,23.5,,,,,
2020-01-06 14,37.5,0.259,24,28.1,17.3,,,
2020-01-06 15,36.4,0.241,25,28.8,18.4,,,
2020-01-06 16,42.8,0.258,17.9,28.1,15.8,,,
2020-01-06 17,34.3,0.264,26.6,25.6,12.2,,,
2020-01-06 18,29.4,0.252,31.9,31.3,15.8,,,
2020-01-06 19,39.4,0.274,24.7,21.6,15.1,,,
2020-01-06 20,39,0.272,26.6,25.8,17.8,,,
2020-01-06 21,31.3,0.261,30.8,22.7,18.8,,,
2020-01-06 22,22.7,0.235,37.2,14.2,11.7,,,
2020-01-06 23,19.3,0.219,37.6,13.6,10.4,,,
2020-01-07 00,17.2,0.218,41.6,14.9,9.9,,,
2020-01-07 01,12.1,0.202,49.9,11.3,9.2,,,
2020-01-07 02,11.8,,48.1,13,8.4,,,
2020-01-07 03,15.8,0.203,41.5,14,8.4,,,
2020-01-07 04,28.3,0.222,30.7,14.9,7.7,,,
2020-01-07 05,52.4,0.277,8.3,16.4,6.9,,,
2020-01-07 06,55.4,0.283,10.9,17.1,8.3,,,
2020-01-07 07,64.1,0.314,5.6,19.1,8.3,,,
2020-01-07 08,58.7,0.394,6.5,26.2,11.6,,,
2020-01-07 09,44.4,0.345,15.9,25.8,12.4,,,
2020-01-07 10,45.3,0.328,15.5,24.8,13.8,,,
2020-01-07 11,42.5,0.336,14.2,,16.6,,,
2020-01-07 12,35.3,0.322,17.5,24.3,16,,,
2020-01-07 13,37.4,0.321,12.2,21.5,15.6,,,
2020-01-07 14,37.5,0.334,7.4,23,15.8,,,
2020-01-07 15,37,0.343,7.1,21.5,13.2,,,
2020-01-07 16,40.6,0.363,4.1,16.8,11.8,,,
2020-01-07 17,40.6,0.391,3.5,16.3,12.4,,,
2020-01-07 18,37.6,0.396,4.2,17.7,14.4,,,
2020-01-07 19,36.4,0.402,4.5,19.8,14.7,,,
2020-01-07 20,35.5,0.398,4.2,22.2,18.9,,,
2020-01-07 21,32.3,0.385,4.5,21.6,17.9,,,
2020-01-07 22,29.9,0.366,7.3,18.6,13.3,,,
2020-01-07 23,28.3,0.269,11.3,15.5,10.6,,,
2020-01-08 00,22.9,0.253,19.6,13.5,10.2,,,
2020-01-08 01,15.8,0.22,33.1,11.7,7.1,,,
2020-01-08 02,10.2,,47.3,10.4,5.1,,,
2020-01-08 03,9.7,0.171,53.7,7.1,9.1,,,
2020-01-08 04,11.9,0.167,52.6,6.3,6.2,,,
2020-01-08 05,21.3,0.177,42,6.9,5.4,,,
2020-01-08 06,28.1,0.193,35.5,7.6,3.9,,,
2020-01-08 07,43.4,0.228,21.5,8.7,4.8,,,
2020-01-08 08,45.6,0.29,18.6,12.9,6.1,,,
2020-01-08 09,47.7,0.298,18,16.4,6.2,,,
2020-01-08 10,39.6,0.278,25.2,18,9.1,,,
2020-01-08 11,40.6,0.274,23.7,17.8,10.1,,,
2020-01-08 12,39.4,0.283,24.4,19.7,12.7,,,
2020-01-08 13,40.9,0.272,21.4,18.9,10.6,,,
2020-01-08 14,37.4,0.274,23.6,20.3,9.5,,,
2020-01-08 15,39.3,0.273,21.1,16,8.1,,,
2020-01-08 16,43.3,0.296,17.2,13.4,7.3,,,
2020-01-08 17,43.9,0.327,14.4,15,11,,,
2020-01-08 18,40.3,0.358,16.8,17.9,12.7,,,
2020-01-08 19,33.3,0.327,23.4,17.4,11.4,,,
2020-01-08 20,28.4,0.294,26.4,16.6,11.6,,,
2020-01-08 21,23.1,0.264,30.2,16.6,12.2,,,
2020-01-08 22,20.4,0.249,32.4,17.7,12.6,,,
2020-01-08 23,16.8,0.192,36.1,17.4,12.2,,,
2020-01-09 00,12.3,0.176,40.5,14.5,9.8,,,
2020-01-09 01,9.5,0.171,42.4,13.6,8,,,
2020-01-09 02,10.6,,41.6,11.4,7.5,,,
2020-01-09 03,9.2,0.168,43.1,11.7,7.6,,,
2020-01-09 04,11.4,0.168,39.7,10.6,8.2,,,
2020-01-09 05,21.2,0.178,31.8,7.4,8.3,,,
2020-01-09 06,28.9,0.189,27.3,8.1,7.5,,,
2020-01-09 07,33.8,0.21,24.4,8.4,5.7,,,
2020-01-09 08,40.1,0.234,20.3,12.3,5.8,,,
2020-01-09 09,38,0.232,24.3,17.1,8,,,
2020-01-09 10,33.3,0.218,28.3,18.4,8.4,,,
2020-01-09 11,26.6,0.215,33.7,17.9,6.8,,,
2020-01-09 12,24,0.214,35.6,15.8,8.2,,,
2020-01-09 13,28.3,0.224,29.9,19.7,9.4,,,
2020-01-09 14,25.8,0.223,31.2,21,9.7,,,
2020-01-09 15,29.5,0.232,27,17.6,9.7,,,
2020-01-09 16,38.1,0.262,18.2,14.8,9.2,,,
2020-01-09 17,32,0.261,25.3,12,9.5,,,
2020-01-09 18,26.6,0.247,30.5,10.3,9.6,,,
2020-01-09 19,24.5,0.24,32.3,10.3,10.8,,,
2020-01-09 20,23,0.218,38.6,10.6,15.3,,,
2020-01-09 21,17.2,0.194,47.5,9,10.8,,,
2020-01-09 22,14.9,0.171,52,10.3,6.1,,,
2020-01-09 23,14.8,0.153,50,11.8,4.6,,,
2020-01-10 00,13.1,0.143,52.2,10.4,3.4,,,
2020-01-10 01,10.4,0.135,57.2,10.4,2.5,,,
2020-01-10 02,9.5,,63.6,10.6,2.4,,,
2020-01-10 03,9.9,0.121,63.2,10.7,4.2,,,
2020-01-10 04,13.1,0.133,59.6,7.8,3.3,,,
2020-01-10 05,19.6,0.138,54.1,6.6,3.1,,,
2020-01-10 06,26.7,0.149,46,8,3.5,,,
2020-01-10 07,29,0.158,45.9,11.2,5.9,,,
2020-01-10 08,27.7,0.172,34.5,15.6,6.8,,,
2020-01-10 09,28.9,0.178,29.6,16.6,5.5,,,
2020-01-10 10,29.2,0.19,32.6,15.6,8.3,,,
2020-01-10 11,26.7,0.188,37.8,12.6,7.5,,,
2020-01-10 12,,0.18,,12.7,6.3,,,
2020-01-10 13,,0.164,,13.6,5.7,,,
2020-01-10 14,23.6,0.141,,13.3,3.4,,,
2020-01-10 15,30.3,0.154,40.7,12.8,6,,,
2020-01-10 16,35.4,0.172,35.4,13.4,5.4,,,
2020-01-10 17,36.7,0.194,33,13.9,13,,,
2020-01-10 18,35.1,0.196,34.1,13.3,9.5,,,
2020-01-10 19,31.3,0.179,38.1,14.3,9.9,,,
2020-01-10 20,34.6,0.16,33.8,11.8,9.3,,,
2020-01-10 21,26.9,0.161,45.4,13.8,10.7,,,
2020-01-10 22,32.8,0.16,36.1,11.8,10.2,,,
2020-01-10 23,40.4,0.204,30.9,13.6,8.9,,,
2020-01-11 00,31.7,0.191,40.4,14.4,9,,,
2020-01-11 01,34.8,0.186,34.6,12.5,8.3,,,
2020-01-11 02,40.2,,30.2,13.2,9.1,,,
2020-01-11 03,29.6,0.174,46.1,11.5,8.5,,,
2020-01-11 04,22.5,0.133,49.1,9.1,5.7,,,
2020-01-11 05,49.2,0.186,18.2,10.9,6.7,,,
2020-01-11 06,64.3,0.223,4.8,13.1,9.3,,,
2020-01-11 07,60.1,0.237,8.8,17.1,8.7,,,
2020-01-11 08,59.6,0.241,10.9,18.6,9.4,,,
2020-01-11 09,48.2,0.232,23.2,22.2,9.9,,,
2020-01-11 10,41.7,0.219,31.9,21.1,10.1,,,
2020-01-11 11,26.4,0.175,49.6,20.2,8.1,,,
2020-01-11 12,21.5,0.15,54.7,17.2,9.6,,,
2020-01-11 13,23.5,0.145,52.8,19.6,9.4,,,
2020-01-11 14,22.9,0.152,53.2,15.9,9.6,,,
2020-01-11 15,28,0.167,46,15.3,9.5,,,
2020-01-11 16,38.6,0.194,34.5,17.1,10.1,,,
2020-01-11 17,45.5,0.223,26.9,17.7,10.9,,,
2020-01-11 18,61.5,0.272,13.2,21,15.5,,,
2020-01-11 19,64.8,0.316,10.9,28,19.9,,,
2020-01-11 20,66.8,0.341,7.6,29.9,20.1,,,
2020-01-11 21,63.7,0.352,7,36.3,24.5,,,
2020-01-11 22,53.6,0.34,12.1,34,24.3,,,
2020-01-11 23,53.5,0.339,7.9,28.8,23.7,,,
2020-01-12 00,50.3,0.324,8.6,30.3,25.1,,,
2020-01-12 01,37.8,0.268,22.1,24.6,22.8,,,
2020-01-12 02,,,29.2,19.1,16.4,,,
2020-01-12 03,22.6,0.179,34,17.2,12.6,,,
2020-01-12 04,19.7,0.154,34.9,14.5,12.8,,,
2020-01-12 05,22.4,0.151,34.6,13.7,11,,,
2020-01-12 06,27.4,0.155,30.8,12.7,7.8,,,
2020-01-12 07,34.8,0.172,24.8,12.2,8.6,,,
2020-01-12 08,36.5,0.251,25.8,16.2,7,,,
2020-01-12 09,25.8,0.254,39.9,16,8.7,,,
2020-01-12 10,21.6,0.208,42.5,14.4,8.7,,,
2020-01-12 11,19.7,0.191,45.1,15.3,9.6,,,
2020-01-12 12,21.6,0.195,43.1,16.8,8.1,,,
2020-01-12 13,28.7,0.209,35.1,17.4,8.7,,,
2020-01-12 14,29,0.224,35.1,20.9,11.5,,,
2020-01-12 15,25.8,0.207,37.6,15.9,8.1,,,
2020-01-12 16,34.2,0.224,30.1,14.8,8.6,,,
2020-01-12 17,38.3,0.255,25.4,16.7,10,,,
2020-01-12 18,38.2,0.264,23.4,19.4,10.1,,,
2020-01-12 19,38.8,0.268,22.1,20.3,12.8,,,
2020-01-12 20,32.4,0.255,25.7,17.8,12.9,,,
2020-01-12 21,25,0.237,30.8,17.1,14.1,,,
2020-01-12 22,21.2,0.227,33.6,16.3,11.2,,,
2020-01-12 23,14.4,0.201,41.1,14.8,10.4,,,
2020-01-13 00,11.1,0.183,45.3,11.8,8.9,,,
2020-01-13 01,11,0.18,50.4,13.1,6.6,,,
2020-01-13 02,9.3,,53.7,12.9,5.1,,,
2020-01-13 03,10.1,0.164,48.7,12.6,5.5,,,
2020-01-13 04,15.3,0.175,43,13.1,4.7,,,
2020-01-13 05,33.4,0.185,24.6,12.1,6.1,,,
2020-01-13 06,42,0.199,18.4,12.3,6.7,,,
2020-01-13 07,41.3,0.231,18.4,13.8,8.5,,,
2020-01-13 08,41,0.252,20.8,18.9,8.9,,,
2020-01-13 09,39.7,0.259,19.7,21.3,9.9,,,
2020-01-13 10,36.4,0.245,21.4,19.3,8.3,,,
2020-01-13 11,34.2,0.224,22.1,16.5,8.7,,,
2020-01-13 12,37.2,0.229,19.4,16.1,9.9,,,
2020-01-13 13,35.6,0.241,24.3,18,9.6,,,
2020-01-13 14,29.7,0.225,33.3,16.3,7.7,,,
2020-01-13 15,31,0.223,32.9,15.3,5.8,,,
2020-01-13 16,32.3,0.227,31.8,9.6,7.4,,,
2020-01-13 17,38.3,0.256,24.2,9.5,7.4,,,
2020-01-13 18,33.1,0.258,28.9,10.9,8.1,,,
2020-01-13 19,29.1,0.238,33,10.3,10.9,,,
2020-01-13 20,22.7,0.208,38.1,8.9,7.5,,,
2020-01-13 21,21.7,0.196,40,9.3,5,,,
2020-01-13 22,16.6,0.181,45,7.9,4.9,,,
2020-01-13 23,11.1,0.176,50.3,7.5,6.3,,,
2020-01-14 00,8.2,0.168,51.8,8.2,5,,,
2020-01-14 01,7.5,0.161,54.3,6.6,3.5,,,
2020-01-14 02,6.7,,55.8,7.1,3.6,,,
2020-01-14 03,7.3,0.155,54.5,7.8,3,,,
2020-01-14 04,9,0.162,54.9,7.3,3.3,,,
2020-01-14 05,13.4,0.165,50.7,8.1,,,,
2020-01-14 06,22.3,0.181,41.7,12.1,,,,
2020-01-14 07,28.7,0.204,37.6,14.8,3.2,,,
2020-01-14 08,28.7,0.224,38,16.6,7.1,,,
2020-01-14 09,25.8,0.22,41.8,23.5,7,,,
2020-01-14 10,27.4,0.223,42.3,24.3,6.4,,,
2020-01-14 11,24.5,0.227,45.9,20.9,7.5,,,
2020-01-14 12,21.3,0.229,48.9,18.8,8.5,,,
2020-01-14 13,21.5,0.229,49.1,18.2,8.4,,,
2020-01-14 14,22.4,0.228,49.3,19.4,7,,,
2020-01-14 15,24.3,0.223,46,20,8.5,,,
2020-01-14 16,24.5,0.238,47.4,16,7.7,,,
2020-01-14 17,23.2,0.233,46.9,14.4,6.2,,,
2020-01-14 18,23.7,0.243,47.2,14.1,5.7,,,
2020-01-14 19,23.3,0.244,47.1,12.1,7.6,,,
2020-01-14 20,21.1,0.236,49.8,12.4,7.8,,,
2020-01-14 21,17.9,0.23,49.7,10.3,8.6,,,
2020-01-14 22,19.2,0.238,45.9,10.7,8.1,,,
2020-01-14 23,20.9,0.201,42.6,12.1,6.8,,,
2020-01-15 00,16.1,0.195,43.9,12.9,6.9,,,
2020-01-15 01,14,0.19,44.8,13.4,9.2,,,
2020-01-15 02,12.8,,46.2,14.2,9.1,,,
2020-01-15 03,13.2,0.172,46.8,14.2,8.5,,,
2020-01-15 04,16.2,0.169,46.1,15.3,7.1,,,
2020-01-15 05,33.4,0.176,31.6,16.3,7.2,,,
2020-01-15 06,44.3,0.188,26.2,16.5,7.2,,,
2020-01-15 07,48.1,0.215,25.8,18.7,7.4,,,
2020-01-15 08,48.2,0.252,26.3,22.7,11.2,,,
2020-01-15 09,39,0.224,36.2,25.8,10,,,
2020-01-15 10,33.7,0.227,43.1,28.8,8.8,,,
2020-01-15 11,26.4,0.196,50.6,25.2,10.3,,,
2020-01-15 12,26.4,0.192,50.1,20.3,9.2,,,
2020-01-15 13,26.7,0.199,48.9,26,,,,
2020-01-15 14,27.8,0.206,47,24,8.6,,,
2020-01-15 15,30.9,0.226,41.4,18.6,9.6,,,
2020-01-15 16,33.8,0.247,36.3,18.2,8.5,,,
2020-01-15 17,48.7,0.322,19.5,15.5,8.1,,,
2020-01-15 18,52.4,0.362,16.6,15.7,8.9,,,
2020-01-15 19,54.5,0.327,19.1,13.4,8.9,,,
2020-01-15 20,39.4,0.27,33.3,9.3,8.8,,,
2020-01-15 21,48.7,0.306,22,10.1,10.3,,,
2020-01-15 22,54.3,0.328,16.3,15,11.2,,,
2020-01-15 23,55.1,0.216,16.1,23.3,16.7,,,
2020-01-16 00,61.3,0.28,7.2,13.1,9.6,,,
2020-01-16 01,61.6,0.284,2.9,14.2,9.7,,,
2020-01-16 02,54.8,,1,23.5,17.6,,,
2020-01-16 03,48.7,0.281,1.8,25.6,18.7,,,
2020-01-16 04,49,0.266,0.6,21.3,14.8,,,
2020-01-16 05,46.6,0.241,0.6,19.8,14.2,,,
2020-01-16 06,47.3,0.217,0.4,17.9,11.4,,,
2020-01-16 07,50.7,0.24,1.1,15.6,9.9,,,
2020-01-16 08,48.4,0.233,4.8,18.5,11.8,,,
2020-01-16 09,47.7,0.235,8.6,23.4,13.1,,,
2020-01-16 10,42.7,0.227,15.8,25.7,13.5,,,
2020-01-16 11,36.8,0.214,25.8,26.1,13.8,,,
2020-01-16 12,29.7,0.172,39.9,26.1,13.9,,,
2020-01-16 13,32.2,0.169,42.2,27.3,12.5,,,
2020-01-16 14,34.1,0.166,40.3,27.1,9.9,,,
2020-01-16 15,37.1,0.175,38.7,19.5,8.6,,,
2020-01-16 16,48.5,0.21,27.9,22.2,9.5,,,
2020-01-16 17,71.3,0.265,8.7,24.3,10.4,,,
2020-01-16 18,58,0.236,18.1,25.2,11.6,,,
2020-01-16 19,47.8,0.208,26.3,23.4,12.5,,,
2020-01-16 20,39.9,0.172,29.9,21.4,11.7,,,
2020-01-16 21,42.3,0.175,23.4,19.9,12.6,,,
2020-01-16 22,37.4,0.168,25.5,17.6,12,,,
2020-01-16 23,30.5,0.162,31.6,16.4,9.5,,,
2020-01-17 00,22,0.146,38.9,13.5,8.9,,,
2020-01-17 01,16.3,0.13,44.9,11.6,7.7,,,
2020-01-17 02,11.7,,51.6,11.4,6,,,
2020-01-17 03,9.3,0.112,60.5,9.3,6.1,,,
2020-01-17 04,11.7,0.145,55.5,10.2,6.3,,,
2020-01-17 05,23.6,0.148,41.9,10.2,7.3,,,
2020-01-17 06,38.7,0.185,29.2,11.4,8.6,,,
2020-01-17 07,47,0.227,21,13.7,10.2,,,
2020-01-17 08,52.6,0.249,17,18.7,10,,,
2020-01-17 09,49,0.24,23.5,21.3,9.3,,,
2020-01-17 10,34.6,0.193,39.4,18.3,8.1,,,
2020-01-17 11,26.9,0.174,52.5,16.6,7.8,,,
2020-01-17 12,18.6,0.136,62.2,16.9,6.6,,,
2020-01-17 13,16.9,0.129,62.2,15.2,5.6,,,
2020-01-17 14,24.7,0.142,54.6,16.8,3.5,,,
2020-01-17 15,27.2,0.145,52.3,14.7,3.4,,,
2020-01-17 16,31.6,0.156,46.8,11,3.8,,,
2020-01-17 17,35.8,0.169,44.9,10.3,4.4,,,
2020-01-17 18,48,0.222,36,6.7,5.7,,,
2020-01-17 19,44.3,0.208,38.9,10.9,6.4,,,
2020-01-17 20,42.7,0.213,36.2,12.5,8.1,,,
2020-01-17 21,35.2,0.177,41.4,15.7,8.7,,,
2020-01-17 22,27.5,0.146,47.2,13.8,7,,,
2020-01-17 23,21.8,0.158,48.6,11.6,6.2,,,
2020-01-18 00,20.9,0.151,48.5,10.6,5,,,
2020-01-18 01,16.7,0.145,51.5,10.3,5.1,,,
2020-01-18 02,14.4,,53.4,10.8,5.4,,,
2020-01-18 03,16.5,0.145,49.6,9.9,4.6,,,
2020-01-18 04,18.9,0.154,47.7,8.9,3.4,,,
2020-01-18 05,24.5,0.159,42.3,9.2,4.4,,,
2020-01-18 06,32.2,0.17,32.7,10.3,3.8,,,
2020-01-18 07,30.4,0.176,31.8,10.9,4.2,,,
2020-01-18 08,32.2,0.207,31.2,12,5,,,
2020-01-18 09,33.2,0.219,33,13.6,5.5,,,
2020-01-18 10,27.8,0.214,42.9,14.7,5.7,,,
2020-01-18 11,26.3,0.217,45.6,17.5,5.5,,,
2020-01-18 12,27.5,0.221,45.7,16.7,7.5,,,
2020-01-18 13,24.4,0.215,50.9,19.3,8.5,,,
2020-01-18 14,23.4,0.196,51.9,19.5,6.8,,,
2020-01-18 15,32.5,0.202,45.4,18.9,6.8,,,
2020-01-18 16,31.2,0.219,37.7,17.9,7.7,,,
2020-01-18 17,43.7,0.241,26.3,19.3,10.6,,,
2020-01-18 18,54.9,0.284,17,22.6,14.3,,,
2020-01-18 19,55.3,0.312,14.8,25.5,17.1,,,
2020-01-18 20,68.9,0.357,5.2,28.5,18.2,,,
2020-01-18 21,68,0.345,5.2,31.8,20,,,
2020-01-18 22,54.6,0.334,15.1,29.7,21.4,,,
2020-01-18 23,50.1,0.254,16.3,27.4,17.3,,,
2020-01-19 00,44.7,0.226,21,27,14.4,,,
2020-01-19 01,46.8,0.231,18.1,25,14.2,,,
2020-01-19 02,,,19.5,23.8,10.2,,,
2020-01-19 03,48.9,0.248,12.5,21.5,11.7,,,
2020-01-19 04,43.6,0.211,18.9,21.3,10.5,,,
2020-01-19 05,41.8,0.208,18.5,19.4,9.3,,,
2020-01-19 06,32.5,0.183,27.7,18.7,9.5,,,
2020-01-19 07,27,0.169,31,19.4,7.9,,,
2020-01-19 08,27.5,0.164,37.1,15.6,6.5,,,
2020-01-19 09,25.7,0.172,39.9,14.4,8.4,,,
2020-01-19 10,21.7,0.162,47.7,15.2,8.5,,,
2020-01-19 11,15.1,0.145,57.5,18.6,8.7,,,
2020-01-19 12,14.3,0.124,62.4,17.8,7.8,,,
2020-01-19 13,13.3,0.109,67.6,20.3,7,,,
